Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
211,810,211Tl,  , -6080       ,  40       ,            ,           ,  , , ,  81     , s, 16     ,1/2+          ,13,1998, B-=100;B-n=2.2 22
211,811,211Tl,m , -4840#      , 110#      , 1244#      , 100#      ,  , , , 580     ,ns, 80     ,17/2+#        ,,2019, IT=100
211,820,211Pb,  ,-10493.0     ,   2.3     ,            ,           ,  , , ,  36.1628, m, 0.0025 ,9/2+*         ,13,1904, B-=100
211,821,211Pb,m , -8774       ,  23       , 1719       ,  23       ,  , , , 159     ,ns, 28     ,(27/2+)       ,13,2005, IT=100
211,830,211Bi,  ,-11859       ,   5       ,            ,           ,  , , ,   2.14  , m, 0.02   ,9/2-*         ,13,1905, A~100;B-=0.276 4
211,831,211Bi,m ,-10602       ,  11       , 1257       ,  10       ,  , , ,   1.4   ,us, 0.3    ,(25/2-)       ,13,1998, IT=100
211,840,211Po,  ,-12432.5     ,   1.3     ,            ,           ,  , , , 516     ,ms, 3      ,9/2+*         ,15,1913, A=100
211,841,211Po,m ,-10970       ,   5       , 1462       ,   5       ,AD, , ,  25.2   , s, 0.6    ,(25/2+)       ,15,1954, A=99.984 4;IT=0.016 4
211,842,211Po,n ,-10298       ,   5       , 2135       ,   5       ,  , , , 243     ,ns, 21     ,(31/2-)       ,15,1998, IT~100;A ?
211,843,211Po,p , -7561       ,   6       , 4872       ,   6       ,  , , ,   2.8   ,us, 0.7    ,(43/2+)       ,15,1998, IT~100;A ?
211,850,211At,  ,-11647.2     ,   2.7     ,            ,           ,  , , ,   7.214 , h, 0.007  ,9/2-*         ,13,1940, EC=58.20 8;A=41.80 8
211,851,211At,m , -6832.7     ,   2.7     , 4814.5     ,   0.5     ,  , , ,   4.23  ,us, 0.07   ,(39/2-)       ,13,1971, IT=100
211,860,211Rn,  , -8755       ,   7       ,            ,           ,  , , ,  14.6   , h, 0.2    ,1/2-*         ,13,1952, B+=72.6 17;A=27.4 17
211,861,211Rn,m , -7152#      ,  16#      , 1603#      ,  14#      ,  , , , 596     ,ns, 28     ,17/2-         ,13,1981, IT=100
211,862,211Rn,n ,   150#      ,  21#      , 8905#      ,  20#      ,  , , , 201     ,ns, 4      ,63/2-         ,13,1981, IT=100
211,870,211Fr,  , -4140       ,  12       ,            ,           ,  , , ,   3.10  , m, 0.02   ,9/2-*         ,13,1964, A=87 3;B+=13 3
211,871,211Fr,m , -1717       ,  12       , 2423.16    ,   0.24    ,  , , , 146     ,ns, 14     ,29/2+         ,13,1986, IT=100
211,872,211Fr,n ,   517       ,  12       , 4657.3     ,   0.4     ,  , , , 124.5   ,ns, 1.2    ,45/2-         ,13,1986, IT=100
211,880,211Ra,  ,   832       ,   5       ,            ,           ,  , , ,  12.6   , s, 1.2    ,5/2-*         ,13,1967, A~100;B+ ?
211,881,211Ra,m ,  2030       ,   5       , 1198.1     ,   0.8     ,  , , ,   9.5   ,us, 0.3    ,13/2+         ,13,2004, IT=100
211,890,211Ac,  ,  7140       ,  50       ,            ,           ,  , , , 213     ,ms, 25     ,9/2-          ,13,1968, A~100;B+ ?
211,900,211Th,  , 13880       ,  90       ,            ,           ,  , , ,  48     ,ms, 20     ,5/2-#         ,13,1995, A~100;B+ ?
211,910,211Pa,  , 22050       ,  70       ,            ,           ,  , , ,   6     ,ms, 3      ,9/2-          ,13,2006, A~100;B+ ?;p ?
212,800,212Hg,  ,  3020#      , 300#      ,            ,           ,  , , ,  30#    , s, >300ns ,0+            ,20,2010, B- ?;B-n ?
212,810,212Tl,  , -1550#      , 200#      ,            ,           ,  , , ,  31     , s, 8      ,(5+)          ,20,1998, B-=100;B-n=1.8 18
212,820,212Pb,  , -7548.9     ,   1.8     ,            ,           ,  , , ,  10.627 , h, 0.006  ,0+            ,20,1905, B-=100
212,821,212Pb,m , -6213.9     ,   2.7     , 1335       ,   2       ,  , , ,   6.0   ,us, 0.8    ,8+#           ,20,1998, IT=100
212,830,212Bi,  , -8117.9     ,   1.9     ,            ,           ,  , , ,  60.55  , m, 0.06   ,1-*           ,20,1905, B-=64.06 6;A=35.94 6;B-A~0.014
212,831,212Bi,m , -7870       ,  30       ,  250       ,  30       ,MD, , ,  25.0   , m, 0.2    ,"(8-,9-)       ",20,1978, A=67 1;B-=33 1;B-A=30 1
212,832,212Bi,n , -6639       ,  30       , 1479       ,  30       ,MD, , ,   7.0   , m, 0.3    ,(18-)         ,20,1978, B-=?;IT ?
212,840,212Po,  ,-10369.4     ,   1.2     ,            ,           ,  , , , 294.4   ,ns, 0.8    ,0+            ,20,1906, A=100
212,841,212Po,m , -7446       ,   5       , 2923       ,   4       ,AD, , ,  45.1   , s, 0.6    ,(18+)         ,20,1962, A=99.93 2;IT ?
212,850,212At,  , -8628.1     ,   2.4     ,            ,           ,  , , , 314     ,ms, 3      ,(1-)          ,20,1954, A~100;B+ ?;B- ?
212,851,212At,m , -8405.2     ,   2.4     ,  222.9     ,   0.9     ,AD, , , 119     ,ms, 3      ,(9-)          ,20,1970, A~100;IT ?
212,852,212At,n , -3856.7     ,   2.8     , 4771.4     ,   1.5     ,  , , , 152     ,us, 5      ,(25-)         ,20,1998, IT=100
212,860,212Rn,  , -8659       ,   3       ,            ,           ,  , , ,  23.9   , m, 1.2    ,0+            ,20,1950, A=100
212,861,212Rn,m , -7019       ,   3       , 1639.68    ,   0.15    ,  , , , 118     ,ns, 14     ,6+            ,20,1971, IT=100
212,862,212Rn,n , -6965       ,   3       , 1694.1     ,   0.3     ,  , , , 910     ,ns, 30     ,8+            ,20,1971, IT=100
212,863,212Rn,p , -2485       ,   3       , 6174.2     ,   0.3     ,  , , , 102     ,ns, 4      ,22+           ,20,1977, IT=100
212,864,212Rn,q ,   -80       ,   3       , 8579.2     ,   0.4     ,  , , , 154     ,ns, 14     ,30+           ,20,1977, IT=100
212,870,212Fr,  , -3516       ,   9       ,            ,           ,  , , ,  20.0   , m, 0.6    ,5+*           ,20,1950, B+=57 2;A=43 2
212,871,212Fr,m , -1965       ,   9       , 1551.4     ,   0.3     ,  , , ,  31.9   ,us, 0.7    ,11+           ,20,1977, IT=100
212,872,212Fr,n , -1024       ,   9       , 2492.2     ,   0.4     ,  , , , 604     ,ns, 28     ,15-           ,20,1977, IT=100
212,873,212Fr,p ,  2339       ,   9       , 5854.7     ,   0.6     ,  , , , 312     ,ns, 21     ,27-           ,20,1986, IT=100
212,874,212Fr,q ,  5017       ,   9       , 8533.4     ,   1.1     ,  , , ,  23.6   ,us, 2.1    ,34+#          ,20,1990, IT=100
212,880,212Ra,  ,  -199       ,  10       ,            ,           ,  , , ,  13.0   , s, 0.2    ,0+            ,20,1967, A=?;B+ ?
212,881,212Ra,m ,  1759       ,  10       , 1958.4     ,   2.0     ,  , , ,   9.3   ,us, 0.9    ,8+            ,20,1986, IT=100
212,882,212Ra,n ,  2414       ,  10       , 2613.3     ,   2.0     ,  , , , 850     ,ns, 130    ,11-           ,20,1986, IT=100
212,890,212Ac,  ,  7300       ,  22       ,            ,           ,  , , , 895     ,ms, 28     ,7+*           ,20,1968, A~100;B+ ?
212,900,212Th,  , 12111       ,  10       ,            ,           ,  , , ,  31.7   ,ms, 1.3    ,0+            ,20,1980, A~100;B+ ?
212,910,212Pa,  , 21600       ,  90       ,            ,           ,  , , ,   5.8   ,ms, 1.9    ,3+#           ,20,1997, A=100
213,800,213Hg,  ,  8200#      , 300#      ,            ,           ,  , , ,  15#    , s, >300ns ,9/2+#         ,11,2010, B- ?;B-n ?
213,810,213Tl,  ,  1784       ,  27       ,            ,           ,  , , ,  23.8   , s, 4.4    ,1/2+#         ,12,2010, B-=100;B-n=7.6 34
213,811,213Tl,m ,  2460#      , 300#      ,  680#      , 300#      ,  , , ,   4.1   ,us, 0.5    ,              ,,2019, IT=100
213,812,213Tl,n ,  3030#      , 100#      , 1250#      , 100#      ,  , , ,   0.6   ,us, 0.3    ,17/2+#        ,,2019, IT=100
213,820,213Pb,  , -3204       ,   7       ,            ,           ,  , , ,  10.2   , m, 0.3    ,(9/2+)        ,7,1964, B-=100
213,821,213Pb,m , -1873       ,   7       , 1331.0     ,   1.7     ,  , , , 260     ,ns, 20     ,(21/2+)       ,,2020, IT=100
213,830,213Bi,  , -5232       ,   5       ,            ,           ,  , , ,  45.60  , m, 0.04   ,9/2-*         ,7,1947, B-=97.91 3;A=2.09 3
213,831,213Bi,m , -3879       ,  22       , 1353       ,  21       ,  , , ,>168     , s,        ,25/2-#        ,,2008, B- ?; IT ?
213,840,213Po,  , -6654       ,   3       ,            ,           ,  , , ,   3.705 ,us, 0.001  ,9/2+          ,7,1947, A=100
213,850,213At,  , -6580       ,   5       ,            ,           ,  , , , 125     ,ns, 6      ,9/2-          ,7,1968, A=100
213,851,213At,m , -5222       ,  24       , 1358       ,  23       ,  , , , 110     ,ns, 17     ,25/2-#        ,7,1980, IT=100
213,852,213At,n , -3582       ,  27       , 2998       ,  27       ,  , , ,  45     ,us, 4      ,49/2+#        ,7,2003, IT=100
213,860,213Rn,  , -5696       ,   3       ,            ,           ,  , , ,  19.5   ,ms, 0.1    ,9/2+#         ,7,1967, A=100
213,861,213Rn,m , -4014       ,  10       , 1682       ,  10       ,  , , ,   1.00  ,us, 0.21   ,(25/2+)       ,7,1988, IT=100
213,862,213Rn,n , -3491       ,  10       , 2205       ,  10       ,  , , ,   1.36  ,us, 0.07   ,(31/2-)       ,7,1988, IT=100
213,863,213Rn,p ,   269       ,  14       , 5965       ,  14       ,  , , , 164     ,ns, 11     ,(55/2+)       ,7,1988, IT=100
213,870,213Fr,  , -3554       ,   5       ,            ,           ,  , , ,  34.14  , s, 0.06   ,9/2-*         ,7,1964, A=99.44 5;B+=0.56 5
213,871,213Fr,m , -1964       ,   5       , 1590.41    ,   0.18    ,  , , , 505     ,ns, 14     ,21/2-         ,7,1971, IT=100
213,872,213Fr,n , -1016       ,   5       , 2537.62    ,   0.23    ,  , , , 238     ,ns, 6      ,29/2+         ,7,1971, IT=100
213,873,213Fr,p ,  4541       ,   5       , 8094.8     ,   0.7     ,  , , ,   3.1   ,us, 0.2    ,(65/2-)       ,7,1989, IT=100
213,880,213Ra,  ,   346       ,  10       ,            ,           ,  , , ,   2.73  , m, 0.05   ,1/2-*         ,7,1955, A=87 2;B+=13 2
213,881,213Ra,m ,  2114       ,  11       , 1768       ,   4       ,AD, , ,   2.20  ,ms, 0.05   ,(17/2-)       ,7,1976, IT~99;A=0.6 4
213,890,213Ac,  ,  6141       ,  12       ,            ,           ,  , , , 738     ,ms, 16     ,9/2-*         ,7,1968, A~100;B+ ?
213,900,213Th,  , 12120       ,   9       ,            ,           ,  , , , 144     ,ms, 21     ,5/2-          ,7,1968, A~100;B+ ?
213,901,213Th,m , 13300       ,   9       , 1180.0     ,   1.4     ,  , , ,   1.4   ,us, 0.4    ,(13/2)+       ,,2007, IT=100
213,903,213Th,p , 12380#      ,  50#      ,  260#      ,  50#      ,  , , ,       ,,,,,,
213,910,213Pa,  , 19650       ,  60       ,            ,           ,  , , ,   7.4   ,ms, 2.4    ,9/2-          ,7,1995, A=100
214,800,214Hg,  , 11770#      , 400#      ,            ,           ,  , , ,   8#    , s, >300ns ,0+            ,11,2010, B- ?;B-n ?
214,810,214Tl,  ,  6470#      , 200#      ,            ,           ,  , , ,  11.0   , s, 2.4    ,5+#           ,11,2010, B-=100;B-n=34 12
214,820,214Pb,  ,  -183.0     ,   2.0     ,            ,           ,  , , ,  27.06  , m, 0.07   ,0+            ,15,1904, B-=100
214,821,214Pb,m ,  1237       ,  20       , 1420       ,  20       ,  , , ,   6.2   ,us, 0.3    ,8+#           ,15,2012, IT=100
214,830,214Bi,  , -1201       ,  11       ,            ,           ,  , , ,  19.9   , m, 0.4    ,1-            ,9,1904, B-=99.979 1;A=0.021 1;B-A~0.003
214,831,214Bi,m ,  -660       ,  30       ,  539       ,  30       ,  , , , >93     , s,        ,8-#           ,,2008, B+ ?; IT ?
214,840,214Po,  , -4470.0     ,   1.4     ,            ,           ,  , , , 163.47  ,us, 0.03   ,0+            ,9,1912, A=100
214,850,214At,  , -3379       ,   4       ,            ,           ,  , , , 558     ,ns, 10     ,1-            ,9,1949, A=100
214,851,214At,m , -3321       ,   8       ,   59       ,   9       ,AD, , , 265     ,ns, 30     ,              ,9,1982, A~100;IT ?
214,852,214At,n , -3147       ,   5       ,  232       ,   5       ,AD, , , 760     ,ns, 15     ,9-            ,9,1982, A~100;IT ?
214,860,214Rn,  , -4320       ,   9       ,            ,           ,  , , , 259     ,ns, 3      ,0+            ,9,1970, A=100
214,861,214Rn,m ,   275       ,   9       , 4595.4     ,   1.8     ,  , , , 245     ,ns, 30     ,(22+)         ,9,1983, IT=100
214,870,214Fr,  ,  -958       ,   9       ,            ,           ,  , , ,   5.51  ,ms, 0.13   ,(1-)*         ,9,1967, A=100
214,871,214Fr,m ,  -837       ,   8       ,  121       ,   5       ,AD, , ,   3.35  ,ms, 0.05   ,(8-)          ,9,1962, A=100
214,872,214Fr,n ,  -320       ,  10       ,  638       ,   5       ,  , , , 103     ,ns, 4      ,(11+)         ,9,1993, IT=100
214,873,214Fr,p ,  5620#      , 100#      , 6577#      , 100#      ,  , , , 108     ,ns, 7      ,(33+)         ,9,1994, IT=100
214,880,214Ra,  ,    93       ,   5       ,            ,           ,  , , ,   2.437 , s, 0.016  ,0+            ,9,1967, A=99.941 4;B+=0.059 4
214,881,214Ra,m ,  1913       ,   5       , 1819.7     ,   1.8     ,  , , , 118     ,ns, 7      ,6+            ,9,2004, IT=100
214,882,214Ra,n ,  1958       ,   5       , 1865.2     ,   1.8     ,  , , ,  67.3   ,us, 1.5    ,8+            ,9,1971, IT=99.91 7;A=0.09 7
214,883,214Ra,p ,  2776       ,   5       , 2683.2     ,   1.8     ,  , , , 295     ,ns, 7      ,11-           ,9,1979, IT=100
214,884,214Ra,q ,  3571       ,   5       , 3478.4     ,   1.8     ,  , , , 279     ,ns, 4      ,14+           ,9,1979, IT=100
214,885,214Ra,r ,  4240       ,   5       , 4146.8     ,   1.8     ,  , , , 225     ,ns, 4      ,17-           ,9,1979, IT=100
214,886,214Ra,x ,  6670       ,   5       , 6577.0     ,   1.8     ,  , , , 128     ,ns, 4      ,(25-)         ,9,1992, IT=100
214,890,214Ac,  ,  6433       ,  14       ,            ,           ,  , , ,   8.2   , s, 0.2    ,5+*           ,9,1968, A=93 4;B+=7 4
214,900,214Th,  , 10695       ,  11       ,            ,           ,  , , ,  87     ,ms, 10     ,0+            ,9,1968, A~100;B+ ?
214,901,214Th,m , 12876       ,  11       , 2181.0     ,   2.7     ,  , , ,   1.24  ,us, 0.12   ,8+#           ,9,2007, IT=100
214,910,214Pa,  , 19460       ,  80       ,            ,           ,  , , ,  17     ,ms, 3      ,7+#           ,9,1995, A~100
215,800,215Hg,  , 17110#      , 400#      ,            ,           ,  , , , 600#    ,ms, >300ns ,9/2+#         ,13,2010, B- ?;B-n ?
215,810,215Tl,  , 10030#      , 300#      ,            ,           ,  , , ,   9.7   , s, 3.8    ,1/2+#         ,13,2010, B-=100;B-n=4.6 46
215,820,215Pb,  ,  4340       ,  50       ,            ,           ,  , , , 142     , s, 11     ,9/2+#         ,13,1998, B-=100
215,830,215Bi,  ,  1629       ,   6       ,            ,           ,  , , ,   7.62  , m, 0.13   ,(9/2-)        ,13,1953, B-=100
215,831,215Bi,m ,  2996#      ,  21#      , 1367#      ,  20#      ,  , , ,  36.9   , s, 0.6    ,(25/2-)       ,13,2001, IT=76.9 5;B-=23.1 5
215,840,215Po,  ,  -541.8     ,   2.1     ,            ,           ,  , , ,   1.781 ,ms, 0.005  ,9/2+          ,13,1911, A=100;B-=2.3e-4 2
215,850,215At,  , -1257       ,   7       ,            ,           ,  , , ,  37     ,us, 3      ,9/2-          ,13,1944, A=100
215,860,215Rn,  , -1169       ,   6       ,            ,           ,  , , ,   2.30  ,us, 0.10   ,9/2+          ,13,1952, A=100
215,870,215Fr,  ,   318       ,   7       ,            ,           ,  , , ,  90     ,ns, 4      ,9/2-          ,13,1970, A=100
215,880,215Ra,  ,  2532       ,   7       ,            ,           ,  , , ,   1.669 ,ms, 0.009  ,9/2+#         ,13,1967, A=100
215,881,215Ra,m ,  4410       ,   7       , 1877.8     ,   0.3     ,  , , ,   7.31  ,us, 0.13   ,(25/2+)       ,13,1983, IT=100
215,882,215Ra,n ,  4779       ,   7       , 2246.9     ,   0.4     ,  , , ,   1.39  ,us, 0.07   ,(29/2-)       ,13,1998, IT=100
215,883,215Ra,p ,  6340#      ,  50#      , 3807#      ,  50#      ,  , , , 555     ,ns, 10     ,(43/2-)       ,13,1987, IT=100
215,890,215Ac,  ,  6031       ,  12       ,            ,           ,  , , , 171     ,ms, 10     ,9/2-*         ,13,1968, A~100;B+=0.09 2
215,891,215Ac,m ,  7827       ,  12       , 1796.0     ,   0.9     ,  , , , 185     ,ns, 30     ,(21/2-)       ,13,1983, IT=100
215,892,215Ac,n ,  8520#      ,  50#      , 2488#      ,  50#      ,  , , , 335     ,ns, 10     ,(29/2+)       ,13,1983, IT=100
215,900,215Th,  , 10921       ,   6       ,            ,           ,  , , ,   1.35  , s, 0.14   ,(1/2-)        ,13,1968, A=100
215,901,215Th,m , 12390#      ,  50#      , 1471#      ,  50#      ,  , , , 770     ,ns, 60     ,9/2+#         ,13,2005, IT=100
215,910,215Pa,  , 17800       ,  80       ,            ,           ,  , , ,  14     ,ms, 2      ,9/2-          ,13,1979, A=100
215,920,215U ,  , 24890       , 100       ,            ,           ,  , , ,   1.4   ,ms, 0.9    ,5/2-#         ,15,2015, A=?;B+ ?
216,800,216Hg,  , 20920#      , 400#      ,            ,           ,  , , ,   2#    , s, >300ns ,0+            ,11,2010, B- ?;B-n ?
216,810,216Tl,  , 14870#      , 300#      ,            ,           ,  , , ,   5.9   , s, 3.3    ,5+#           ,11,2010, B-=100;B-n<11.5
216,820,216Pb,  ,  7510#      , 200#      ,            ,           ,  , , ,   1.66  , m, 0.20   ,0+            ,15,2010, B-=100
216,821,216Pb,m ,  9020#      , 200#      , 1514       ,  20       ,  , , , 400     ,ns, 40     ,8+#           ,15,2012, IT=100
216,830,216Bi,  ,  5874       ,  11       ,            ,           ,  ,*, ,   2.21  , m, 0.04   ,"(6-,7-)       ",7,1989, B-=100
216,831,216Bi,m ,  5898       ,  15       ,   24       ,  19       ,MD,*, ,   6.6   , m, 2.1    ,3-#           ,7,1989, B-=100
216,840,216Po,  ,  1782.3     ,   1.8     ,            ,           ,  , , , 144.0   ,ms, 0.6    ,0+            ,7,1910, A=100;2B- ?
216,850,216At,  ,  2257       ,   4       ,            ,           ,  , , , 300     ,us, 30     ,1-            ,7,1948, A~100;B- ?;EC ?
216,851,216At,m ,  2417       ,  10       ,  161       ,  11       ,AD, , , 100#    ,us,        ,9-#           ,7,1971, A=100
216,860,216Rn,  ,   253       ,   6       ,            ,           ,  , , ,  29     ,us, 4      ,0+            ,7,1949, A=100
216,870,216Fr,  ,  2971       ,   4       ,            ,           ,  , , , 700     ,ns, 20     ,(1-)          ,7,1970, A=100;B+ ?
216,871,216Fr,m ,  3190       ,   6       ,  219       ,   6       ,AD, , , 850     ,ns, 30     ,(9-)          ,,2007, A~100;B+ ?
216,880,216Ra,  ,  3291       ,   8       ,            ,           ,  , , , 172     ,ns, 7      ,0+            ,7,1972, A=100;EC<1e-8
216,890,216Ac,  ,  8150       ,   9       ,            ,           ,  , , , 440     ,us, 16     ,(1-)          ,7,1967, A=100;B+ ?
216,891,216Ac,m ,  8188       ,  10       ,   38       ,   5       ,AD, , , 441     ,us, 7      ,(9-)          ,7,1966, A=100;B+ ?
216,892,216Ac,n ,  8570#      , 100#      ,  422#      , 100#      ,  , , ,~300     ,ns,        ,              ,7,2006, IT=100
216,900,216Th,  , 10299       ,  11       ,            ,           ,  , , ,  26.28  ,ms, 0.16   ,0+            ,7,1968, A~100;B+ ?
216,901,216Th,m , 12340       ,  12       , 2041       ,   8       ,AD, , , 135.4   ,us, 2.9    ,8+            ,7,1983, IT=97.2 9;A=2.8 9
216,902,216Th,n , 12947       ,  14       , 2648       ,   8       ,  , , , 580     ,ns, 26     ,(11-)         ,7,1983, IT=100
216,903,216Th,p , 13981       ,  14       , 3682       ,   8       ,  , , , 740     ,ns, 70     ,(14+)         ,7,2001, IT=100
216,910,216Pa,  , 17824       ,  25       ,            ,           ,  , , , 105     ,ms, 12     ,5+#           ,7,1972, A~100;B+ ?
216,920,216U ,  , 23066       ,  28       ,            ,           ,  , , ,   6.9   ,ms, 2.9    ,0+            ,15,2015, A=100
216,921,216U ,m , 25320       ,  30       , 2250       ,  40       ,AD, , ,   1.4   ,ms, 0.9    ,8+#           ,15,2015, A=100
217,810,217Tl,  , 18660#      , 400#      ,            ,           ,  , , ,   2#    , s, >300ns ,1/2+#         ,18,2010, B- ?;B-n ?
217,820,217Pb,  , 12260#      , 300#      ,            ,           ,  , , ,  19.9   , s, 5.3    ,9/2+#         ,18,2010, B-=100
217,830,217Bi,  ,  8730       ,  18       ,            ,           ,  , , ,  98.5   , s, 1.3    ,9/2-#         ,18,1998, B-=100
217,831,217Bi,m , 10221       ,  27       , 1491       ,  20       ,  , , ,   3.0   ,us, 0.2    ,25/2-#        ,18,2012, IT=100
217,840,217Po,  ,  5883       ,   7       ,            ,           ,  , , ,   1.53  , s, 0.05   ,(9/2+)*       ,18,1956, A=97.5 14;B-=2.5 14
217,850,217At,  ,  4395       ,   5       ,            ,           ,  , , ,  32.6   ,ms, 0.3    ,9/2-*         ,18,1947, A=99.992 2;B-=0.008 2
217,860,217Rn,  ,  3659       ,   4       ,            ,           ,  , , , 593     ,us, 38     ,9/2+          ,18,1949, A=100
217,870,217Fr,  ,  4315       ,   7       ,            ,           ,  , , ,  22     ,us, 5      ,9/2-          ,18,1968, A=100
217,880,217Ra,  ,  5890       ,   7       ,            ,           ,  , , ,   1.95  ,us, 0.12   ,(9/2+)        ,18,1970, A=100
217,890,217Ac,  ,  8702       ,  11       ,            ,           ,  , , ,  69     ,ns, 4      ,9/2-          ,18,1972, A~100;B+ ?
217,891,217Ac,m , 10715       ,  18       , 2012       ,  20       ,  , , , 740     ,ns, 40     ,29/2+         ,18,1973, IT=95.49 18;A=4.51 18
217,900,217Th,  , 12206       ,  11       ,            ,           ,  , , , 248     ,us, 4      ,9/2+#         ,18,1968, A=100
217,901,217Th,m , 12879       ,  11       ,  673.3     ,   0.1     ,  , , , 141     ,ns, 50     ,(15/2-)       ,18,1989, IT=100
217,902,217Th,n , 14510       ,  30       , 2307       ,  32       ,  , , ,  71     ,us, 14     ,(25/2+)       ,,2002, IT=100
217,910,217Pa,  , 17055       ,  12       ,            ,           ,  , , ,   3.8   ,ms, 0.2    ,9/2-          ,18,1968, A=100;B- ?
217,911,217Pa,m , 18915       ,  13       , 1860       ,   7       ,AD, , ,   1.08  ,ms, 0.03   ,(23/2-)       ,18,1979, A=73 4;IT ?
217,920,217U ,  , 22970#      ,  80#      ,            ,           ,  , , , 850     ,us, 710    ,1/2-#         ,18,2000, A~100;B- ?
218,810,218Tl,  , 23710#      , 400#      ,            ,           ,  , , ,   1#    , s,        ,6+#           ,,, B- ?;B-n ?
218,820,218Pb,  , 15630#      , 300#      ,            ,           ,  , , ,  14.8   , s, 6.8    ,0+            ,19,2009, B-=100
218,830,218Bi,  , 13216       ,  27       ,            ,           ,  , , ,  33     , s, 1      ,8-#           ,19,1998, B-=100
218,840,218Po,  ,  8356.7     ,   2.0     ,            ,           ,  , , ,   3.097 , m, 0.012  ,0+            ,19,1904, A=99.980 2;B-=0.020 2
218,850,218At,  ,  8100       ,  12       ,            ,           ,  , , ,   1.28  , s, 0.06   ,"(2-,3-)*      ",19,1943, A~100;B- ?
218,860,218Rn,  ,  5217.4     ,   2.3     ,            ,           ,  , , ,  33.75  ,ms, 0.15   ,0+            ,19,1948, A=100
218,870,218Fr,  ,  7059       ,   4       ,            ,           ,  , , ,   1.4   ,ms, 0.5    ,1-            ,19,1949, A=100
218,871,218Fr,m ,  7147       ,   5       ,   87       ,   4       ,AD, , ,  21.9   ,ms, 0.5    ,(8-)          ,19,1982, A~100;IT ?
218,880,218Ra,  ,  6646       ,  10       ,            ,           ,  , , ,  25.91  ,us, 0.14   ,0+            ,19,1970, A=100
218,890,218Ac,  , 10850       ,  60       ,            ,           ,  ,*, ,   1.00  ,us, 0.04   ,(1-)          ,19,1970, A=100
218,891,218Ac,m , 10900       ,  90       ,   50       ,  70       ,  ,*, ,>100#    ,ns,        ,8-#           ,,, IT ?;A ?;B+ ?
218,892,218Ac,n , 11460#      , 110#      ,  607#      ,  86#      ,  , , , 103     ,ns, 11     ,(11+)         ,19,1994, IT=100
218,900,218Th,  , 12367       ,  11       ,            ,           ,  , , , 122     ,ns, 5      ,0+            ,19,1973, A=100
218,910,218Pa,  , 18650       ,  18       ,            ,           ,  , , , 108     ,us, 5      ,8-#           ,19,1979, A=100
218,911,218Pa,m , 18731       ,  20       ,   81       ,  19       ,AD, , , 150     ,us, 50     ,1-#           ,19,1979, A=100
218,920,218U ,  , 21895       ,  14       ,            ,           ,  , , , 354     ,us, 91     ,0+            ,19,1992, A=100
218,921,218U ,m , 24004       ,  18       , 2109       ,  17       ,AD, , , 408     ,us, 125    ,8+#           ,19,2005, A~100; IT=?
219,820,219Pb,  , 20620#      , 400#      ,            ,           ,  , , ,   3#    , s, >300ns ,11/2+#        ,11,2009, B- ?
219,830,219Bi,  , 16320#      , 200#      ,            ,           ,  , , ,   8.7   , s, 2.9    ,9/2-#         ,12,2009, B-=100;B-n ?
219,840,219Po,  , 12681       ,  16       ,            ,           ,  , , ,  10.3   , m, 1.0    ,9/2+#         ,15,1998, B-=71.8 20;A=28.2 20
219,850,219At,  , 10396       ,   3       ,            ,           ,  , , ,  56     , s, 3      ,(9/2-)*       ,16,1953, A=93.6 10;B-=6.4 10
219,860,219Rn,  ,  8829.3     ,   2.1     ,            ,           ,  , , ,   3.96  , s, 0.01   ,5/2+*         ,1,1903, A=100
219,870,219Fr,  ,  8617       ,   7       ,            ,           ,  , , ,  22.5   ,ms, 1.7    ,9/2-*         ,1,1948, A=100
219,880,219Ra,  ,  9394       ,   7       ,            ,           ,  , , ,   9     ,ms, 2      ,(7/2)+        ,1,1952, A=100
219,881,219Ra,m ,  9411       ,   7       ,   16.7     ,   0.8     ,  , , ,  10     ,ms, 3      ,(11/2)+       ,1,2018, A~100; IT ?
219,890,219Ac,  , 11570       ,  50       ,            ,           ,  , , ,   9.4   ,us, 1.0    ,9/2-          ,1,1970, A=100;B+ ?
219,900,219Th,  , 14460       ,  60       ,            ,           ,  , , ,   1.023 ,us, 0.018  ,9/2+#         ,12,1973, A=100;B+ ?
219,910,219Pa,  , 18580       ,  70       ,            ,           ,  , , ,  56     ,ns, 9      ,9/2-          ,1,2005, A=100;B+ ?
